=== ЛОГ ЭПИЗОДА 100 ===
Цель находится в позиции: [-1.3061504  -0.49281315]
--------------------------------------------------
Шаг: 082 | Действие: 3 | Поз: (-0.00, -0.05) | Угол: -0.02 | Награда: 0.13
Шаг: 083 | Действие: 4 | Поз: (0.00, -0.05) | Угол: -0.02 | Награда: -0.09
Шаг: 084 | Действие: 2 | Поз: (-0.00, -0.05) | Угол: -0.02 | Награда: 0.04
Шаг: 085 | Действие: 2 | Поз: (-0.00, -0.05) | Угол: -0.02 | Награда: -0.02
Шаг: 086 | Действие: 0 | Поз: (-0.00, -0.05) | Угол: -0.02 | Награда: 0.06
Шаг: 087 | Действие: 2 | Поз: (0.00, -0.07) | Угол: -0.01 | Награда: 0.41
Шаг: 088 | Действие: 0 | Поз: (0.00, -0.08) | Угол: -0.01 | Награда: 0.38
Шаг: 089 | Действие: 1 | Поз: (-0.00, -0.08) | Угол: -0.02 | Награда: -0.01
Шаг: 090 | Действие: 1 | Поз: (-0.00, -0.07) | Угол: -0.02 | Награда: -0.38
Шаг: 091 | Действие: 1 | Поз: (-0.00, -0.06) | Угол: -0.02 | Награда: -0.19
Шаг: 092 | Действие: 4 | Поз: (0.00, -0.06) | Угол: -0.02 | Награда: -0.23
Шаг: 093 | Действие: 4 | Поз: (0.00, -0.06) | Угол: -0.02 | Награда: -0.04
Шаг: 094 | Действие: 1 | Поз: (0.00, -0.05) | Угол: -0.02 | Награда: -0.21
Шаг: 095 | Действие: 4 | Поз: (0.00, -0.05) | Угол: -0.02 | Награда: -0.11
Шаг: 096 | Действие: 3 | Поз: (0.00, -0.05) | Угол: -0.02 | Награда: -0.07
Шаг: 097 | Действие: 3 | Поз: (0.00, -0.05) | Угол: -0.02 | Награда: -0.04
Шаг: 098 | Действие: 4 | Поз: (0.00, -0.05) | Угол: -0.02 | Награда: -0.02
Шаг: 099 | Действие: 3 | Поз: (0.00, -0.05) | Угол: -0.02 | Награда: 0.00
Шаг: 100 | Действие: 4 | Поз: (0.00, -0.05) | Угол: -0.02 | Награда: -0.02
Шаг: 101 | Действие: 0 | Поз: (0.00, -0.05) | Угол: -0.02 | Награда: 0.17
Шаг: 102 | Действие: 1 | Поз: (0.00, -0.05) | Угол: -0.02 | Награда: -0.18
Шаг: 103 | Действие: 4 | Поз: (0.00, -0.05) | Угол: -0.02 | Награда: -0.06
Шаг: 104 | Действие: 2 | Поз: (0.00, -0.05) | Угол: -0.02 | Награда: -0.07
Шаг: 105 | Действие: 2 | Поз: (0.00, -0.04) | Угол: -0.02 | Награда: -0.13
Шаг: 106 | Действие: 4 | Поз: (0.00, -0.04) | Угол: -0.02 | Награда: -0.01
Шаг: 107 | Действие: 2 | Поз: (0.00, -0.04) | Угол: -0.02 | Награда: 0.03
Шаг: 108 | Действие: 0 | Поз: (0.00, -0.04) | Угол: -0.02 | Награда: 0.18
Шаг: 109 | Действие: 0 | Поз: (0.00, -0.05) | Угол: -0.02 | Награда: -0.17
Шаг: 110 | Действие: 1 | Поз: (0.00, -0.04) | Угол: -0.02 | Награда: -0.06
Шаг: 111 | Действие: 1 | Поз: (0.00, -0.04) | Угол: -0.02 | Награда: -0.09
Шаг: 112 | Действие: 0 | Поз: (0.00, -0.04) | Угол: -0.02 | Награда: 0.10
Шаг: 113 | Действие: 4 | Поз: (0.00, -0.04) | Угол: -0.02 | Награда: -0.15
Шаг: 114 | Действие: 3 | Поз: (0.00, -0.04) | Угол: -0.02 | Награда: -0.15
Шаг: 115 | Действие: 4 | Поз: (0.00, -0.04) | Угол: -0.02 | Награда: 0.01
Шаг: 116 | Действие: 3 | Поз: (0.00, -0.03) | Угол: -0.02 | Награда: -0.04
Шаг: 117 | Действие: 2 | Поз: (0.00, -0.03) | Угол: -0.02 | Награда: -0.02
Шаг: 118 | Действие: 4 | Поз: (0.00, -0.03) | Угол: -0.02 | Награда: -0.03
Шаг: 119 | Действие: 3 | Поз: (0.00, -0.03) | Угол: -0.02 | Награда: -0.03
Шаг: 120 | Действие: 2 | Поз: (0.00, -0.03) | Угол: -0.02 | Награда: -0.07
Шаг: 121 | Действие: 3 | Поз: (0.00, -0.03) | Угол: -0.02 | Награда: 0.08
Шаг: 122 | Действие: 2 | Поз: (0.00, -0.03) | Угол: -0.02 | Награда: -0.01
Шаг: 123 | Действие: 1 | Поз: (0.00, -0.03) | Угол: -0.01 | Награда: -0.25
Шаг: 124 | Действие: 3 | Поз: (0.00, -0.03) | Угол: -0.01 | Награда: 0.02
Шаг: 125 | Действие: 4 | Поз: (0.00, -0.03) | Угол: -0.01 | Награда: -0.06
Шаг: 126 | Действие: 0 | Поз: (0.00, -0.03) | Угол: -0.02 | Награда: 0.40
Шаг: 127 | Действие: 1 | Поз: (0.02, -0.04) | Угол: -0.02 | Награда: -1.76
Шаг: 128 | Действие: 4 | Поз: (0.02, -0.04) | Угол: -0.02 | Награда: 0.13
Шаг: 129 | Действие: 1 | Поз: (0.02, -0.03) | Угол: -0.02 | Награда: -0.19
Шаг: 130 | Действие: 4 | Поз: (0.02, -0.03) | Угол: -0.01 | Награда: 0.05
Шаг: 131 | Действие: 0 | Поз: (0.02, -0.02) | Угол: -0.01 | Награда: 0.22
Шаг: 132 | Действие: 3 | Поз: (0.01, -0.02) | Угол: -0.01 | Награда: 0.05
Шаг: 133 | Действие: 0 | Поз: (0.01, -0.02) | Угол: -0.01 | Награда: 0.13
Шаг: 134 | Действие: 1 | Поз: (0.01, -0.01) | Угол: -0.01 | Награда: -0.29
Шаг: 135 | Действие: 0 | Поз: (0.01, -0.01) | Угол: -0.01 | Награда: 0.01
Шаг: 136 | Действие: 2 | Поз: (0.01, -0.01) | Угол: -0.01 | Награда: 0.09
Шаг: 137 | Действие: 0 | Поз: (0.01, -0.01) | Угол: -0.01 | Награда: 0.39
Шаг: 138 | Действие: 2 | Поз: (0.00, -0.01) | Угол: -0.02 | Награда: 0.13
Шаг: 139 | Действие: 0 | Поз: (0.00, -0.01) | Угол: -0.02 | Награда: 0.31
Шаг: 140 | Действие: 1 | Поз: (0.02, -0.02) | Угол: -0.02 | Награда: -1.66
Шаг: 141 | Действие: 0 | Поз: (0.02, -0.03) | Угол: -0.02 | Награда: 0.59
Шаг: 142 | Действие: 3 | Поз: (0.02, -0.03) | Угол: -0.02 | Награда: 0.14
Шаг: 143 | Действие: 1 | Поз: (0.01, -0.03) | Угол: -0.02 | Награда: 0.34
Шаг: 144 | Действие: 2 | Поз: (0.01, -0.02) | Угол: -0.02 | Награда: 0.00
Шаг: 145 | Действие: 0 | Поз: (0.01, -0.03) | Угол: -0.02 | Награда: 0.26
Шаг: 146 | Действие: 3 | Поз: (0.01, -0.02) | Угол: -0.02 | Награда: -0.16
Шаг: 147 | Действие: 4 | Поз: (0.01, -0.02) | Угол: -0.02 | Награда: 0.02
Шаг: 148 | Действие: 3 | Поз: (0.01, -0.02) | Угол: -0.02 | Награда: 0.06
Шаг: 149 | Действие: 0 | Поз: (0.01, -0.02) | Угол: -0.02 | Награда: 0.34
Шаг: 150 | Действие: 2 | Поз: (0.01, -0.02) | Угол: -0.02 | Награда: 0.10
Шаг: 151 | Действие: 1 | Поз: (0.00, -0.02) | Угол: -0.02 | Награда: 0.21
Шаг: 152 | Действие: 4 | Поз: (0.00, -0.02) | Угол: -0.02 | Награда: -0.16
Шаг: 153 | Действие: 4 | Поз: (0.00, -0.02) | Угол: -0.02 | Награда: -0.02
